,0
0,'
1,'a
2,'n
3,'s
4,(
5,)
6,","
7,-
8,-cher
9,-d
10,-dzhe
11,-i
12,-ka
13,-khrus
14,-kut
15,-l
16,-la
17,-m
18,-n
19,-na
20,-s
21,-sc
22,-shevc
23,-z
24,-za
25,.
26,.k
27,.s
28,/
29,01
30,02
31,03
32,04
33,05
34,06
35,07
36,08
37,09
38,1
39,10
40,11
41,12
42,13
43,14
44,15
45,16
46,2
47,22
48,33
49,44
50,55
51,66
52,73
53,77
54,88
55,99
56,a
57,a.
58,aa
59,aac
60,aal
61,aalst
62,aan
63,aar
64,aarsc
65,ab
66,abrsk
67,ac
68,ach
69,achk
70,ad
71,adh
72,ae
73,af
74,aff
75,afg
76,ag
77,agdz
78,ah
79,ai
80,aic
81,aim
82,ain
83,air
84,ais
85,aix
86,aj
87,ak
88,akc
89,akh
90,al
91,albs
92,alc
93,alf
94,alg
95,all
96,allsc
97,alp
98,als
99,alt
100,alts
101,am
102,amch
103,amp
104,ams
105,an
106,anc
107,and
108,andk
109,ang
110,ann
111,ans
112,ansk
113,ant
114,anz
115,ao
116,aon
117,aos
118,ap
119,aps
120,aq
121,ar
122,arb
123,arc
124,ard
125,ark
126,arm
127,arn
128,arns
129,ars
130,arsk
131,arz
132,as
133,asc
134,ascq
135,ash
136,at
137,ath
138,au
139,auc
140,auch
141,augs
142,aul
143,aus
144,aux
145,av
146,aw
147,ay
148,ayk
149,ayn
150,ayr
151,az
152,aç
153,aí
154,aï
155,aïd
156,aïn
157,aïs
158,añ
159,ağ
160,aī
161,aş
162,aţ
163,aḩ
164,b
165,ba
166,baa
167,baal
168,baar
169,baard
170,baarn
171,bab
172,bac
173,bach
174,bacht
175,back
176,bad
177,badr
178,bae
179,baek
180,baen
181,baes
182,bag
183,bagh
184,bah
185,bai
186,baic
187,bail
188,bain
189,bains
190,bais
191,baix
192,baj
193,bak
194,bakh
195,bakhc
196,bal
197,balch
198,balkh
199,ball
200,bam
201,ban
202,banc
203,band
204,bang
205,bank
206,banks
207,bans
208,bansk
209,bao
210,baos
211,bar
212,bard
213,bardd
214,bark
215,barm
216,barn
217,barns
218,barr
219,bars
220,bart
221,bas
222,bash
223,bat
224,bath
225,baths
226,bats
227,bau
228,bauc
229,baug
230,baulk
231,bault
232,baumsc
233,baun
234,baw
235,baws
236,bay
237,bayk
238,bayl
239,bayn
240,bayr
241,bays
242,bayt
243,baz
244,baâ
245,baç
246,bañ
247,baú
248,bač
249,bağ
250,bań
251,baş
252,baţ
253,bchar
254,be
255,bea
256,beach
257,bear
258,bears
259,beb
260,bec
261,bech
262,beck
263,bed
264,bee
265,beek
266,beer
267,beers
268,beh
269,behs
270,bei
271,beic
272,beid
273,beil
274,beit
275,bek
276,bel
277,bell
278,bells
279,beln
280,bels
281,belt
282,bem
283,ben
284,bend
285,beng
286,bens
287,bent
288,beo
289,beol
290,bep
291,ber
292,berck
293,berd
294,berdsk
295,berg
296,bergs
297,bergsc
298,berk
299,bern
300,bers
301,bersc
302,bert
303,berts
304,bes
305,besh
306,best
307,bet
308,beth
309,beu
310,beuf
311,beul
312,bex
313,bey
314,bez
315,beï
316,beā
317,beč
318,bełc
319,beň
320,beş
321,bha
322,bhab
323,bhac
324,bhai
325,bhains
326,bhak
327,bhal
328,bhan
329,bhar
330,bhart
331,bhat
332,bhay
333,bhe
334,bhi
335,bhim
336,bhin
337,bhind
338,bhis
339,bhit
340,bho
341,bhog
342,bhon
343,bhor
344,bhu
345,bhud
346,bhuj
347,bhā
348,bhāi
349,bhāl
350,bhān
351,bhāt
352,bhāy
353,bhī
354,bhīk
355,bhīl
356,bhīn
357,bhūm
358,bi
359,bia
360,bian
361,bianz
362,biar
363,bias
364,bic
365,bid
366,bidz
367,bie
368,bieh
369,biel
370,biels
371,bielsk
372,bien
373,bier
374,biers
375,bies
376,big
377,bigh
378,bij
379,bijl
380,bijn
381,bil
382,bilt
383,bim
384,bin
385,binc
386,bind
387,bing
388,binh
389,bins
390,binsk
391,binz
392,bio
393,biodh
394,bir
395,birg
396,birk
397,birn
398,birs
399,birsk
400,bis
401,bisch
402,bish
403,bit
404,biu
405,bix
406,biy
407,biysk
408,biz
409,biá
410,biên
411,biú
412,biā
413,bią
414,bił
415,biš
416,bje
417,bla
418,blac
419,black
420,blah
421,blai
422,blain
423,blair
424,blaj
425,blan
426,blanc
427,blans
428,blas
429,blay
430,ble
431,blea
432,blen
433,blenz
434,bles
435,blet
436,bletc
437,bli
438,blic
439,blies
440,blik
441,blin
442,bling
443,blo
444,bloe
445,bloem
446,blois
447,blom
448,blon
449,bloo
450,bloom
451,bloux
452,blu
453,blue
454,bluff
455,bluffs
456,blus
457,bly
458,blyt
459,blyth
460,blë
461,bląg
462,bna
463,bnay
464,bni
465,bnik
466,bninsk
467,bnitz
468,bniţ
469,bno
470,bnoy
471,bny
472,bnya
473,bnyk
474,bnūb
475,bo
476,boa
477,boan
478,boar
479,bob
480,boc
481,bock
482,bod
483,bods
484,boe
485,boen
486,bog
487,boh
488,boi
489,bois
490,boj
491,boks
492,bol
493,bolc
494,boldt
495,bom
496,bon
497,bong
498,bonn
499,boo
500,bool
501,boom
502,bop
503,bor
504,bordj
505,borg
506,bork
507,born
508,bors
509,borsk
510,borz
511,bos
512,bosch
513,bosh
514,bot
515,both
516,bots
517,bou
518,bouc
519,boud
520,bouk
521,boul
522,boun
523,bour
524,bourg
525,bous
526,bouw
527,bov
528,bow
529,bowt
530,box
531,boy
532,boyn
533,boz
534,boã
535,boû
536,boûch
537,boń
538,bra
539,brac
540,brad
541,brae
542,bragg
543,brai
544,brain
545,brais
546,brak
547,bral
548,bram
549,bramp
550,bramsc
551,bran
552,branc
553,branch
554,brand
555,brant
556,brassc
557,brat
558,bratsk
559,brau
560,braunsc
561,braw
562,bray
563,braz
564,braç
565,braş
566,bre
567,brea
568,brecht
569,bred
570,brei
571,bren
572,brent
573,brenz
574,bres
575,brest
576,bret
577,breu
578,breus
579,breñ
580,breú
581,bri
582,bria
583,brian
584,briand
585,brich
586,brid
587,brie
588,briel
589,brier
590,brig
591,briggs
592,brigh
593,bril
594,brils
595,brin
596,bris
597,brits
598,britz
599,brix
600,briz
601,briāl
602,brno
603,bro
604,broa
605,broad
606,broads
607,broath
608,broc
609,brock
610,brod
611,broek
612,broich
613,brom
614,broms
615,bron
616,bronk
617,bronn
618,bronx
619,broo
620,brook
621,broom
622,bros
623,brouck
624,brough
625,brov
626,brown
627,browns
628,bru
629,brua
630,bruc
631,bruch
632,bruck
633,brug
634,bruk
635,brum
636,brun
637,brunn
638,bruns
639,brus
640,brush
641,bruysk
642,bruz
643,brve
644,bry
645,bryag
646,bryan
647,bryansk
648,bryant
649,brym
650,bryn
651,bryuk
652,brzeg
653,brzes
654,brá
655,bré
656,brí
657,bría
658,brów
659,bröl
660,brüc
661,brück
662,brüg
663,brühl
664,brā
665,brāi
666,brāj
667,brăi
668,brč
669,brī
670,brūd
671,bsen
672,bsā
673,bu
674,bua
675,buan
676,buc
677,buch
678,buck
679,bud
680,buddh
681,bue
682,bueng
683,buf
684,bug
685,buh
686,bui
687,buin
688,buinsk
689,buis
690,buk
691,bul
692,bull
693,bum
694,bun
695,bung
696,bunsc
697,bur
698,burg
699,burgh
700,burj
701,burn
702,burns
703,bursc
704,burt
705,bus
706,busch
707,bush
708,but
709,butz
710,buu
711,buun
712,buur
713,bux
714,buy
715,buz
716,buí
717,buôn
718,bwa
719,bwe
720,bwell
721,bwi
722,bwā
723,bwāh
724,by
725,bya
726,bych
727,byd
728,byek
729,byen
730,byg
731,byk
732,byn
733,bys
734,byum
735,byā
736,byād
737,byār
738,był
739,byŏn
740,bze
741,bzon
742,bà
743,bá
744,bái
745,bán
746,bár
747,bâr
748,bão
749,bæk
750,bè
751,bès
752,bé
753,béa
754,béc
755,béo
756,bét
757,bình
758,bí
759,bín
760,bíč
761,bó
762,bón
763,bórz
764,bö
765,bös
766,bú
767,bü
768,büc
769,bühl
770,bük
771,bün
772,bürs
773,büt
774,büy
775,bā
776,bāb
777,bād
778,bāfq
779,bāg
780,bāgh
781,bāh
782,bāl
783,bān
784,bāns
785,bār
786,bārh
787,bās
788,bāz
789,bāţ
790,bāḩ
791,bă
792,băi
793,bē
794,bę
795,bī
796,bīd
797,bīl
798,bīn
799,bīr
800,bīs
801,bīt
802,bō
803,bře
804,bū
805,būn
806,būr
807,būs
808,būsh
809,bŭ
810,bəy
811,bạc
812,bảo
813,bắc
814,bằng
815,bến
816,bỉm
817,ca
818,caa
819,cac
820,cae
821,caen
822,caerp
823,cag
824,cah
825,cai
826,cain
827,cairn
828,cairns
829,cais
830,cak
831,cal
832,call
833,calp
834,calw
835,cam
836,camp
837,can
838,canc
839,cangz
840,cans
841,cao
842,caos
843,car
844,carls
845,carr
846,cars
847,cart
848,cas
849,cat
850,catl
851,cau
852,cawl
853,cax
854,cay
855,caá
856,caç
857,caé
858,caí
859,cañ
860,ce
861,cea
862,cean
863,cec
864,ced
865,cee
866,ceeld
867,ceg
868,ceh
869,cei
870,cel
871,cem
872,cen
873,cent
874,ceo
875,cep
876,ceq
877,cer
878,ces
879,ceu
880,cey
881,ceï
882,ceş
883,cha
884,chaam
885,chac
886,chad
887,chae
888,chai
889,chaic
890,chak
891,chal
892,chalc
893,cham
894,champs
895,chan
896,chang
897,changc
898,changs
899,changz
900,chant
901,chao
902,chaoz
903,chap
904,char
905,chark
906,chart
907,chas
908,chat
909,chau
910,chauk
911,chaux
912,chay
913,chaï
914,che
915,chea
916,cheb
917,cheek
918,chefc
919,cheikh
920,chek
921,chel
922,chelg
923,chelms
924,chem
925,chen
926,cheng
927,chengz
928,chenz
929,cheo
930,cheon
931,cheong
932,cher
933,chert
934,ches
935,chet
936,chey
937,cheł
938,chełm
939,chha
940,chhar
941,chhi
942,chhin
943,chhnang
944,chho
945,chhā
946,chi
947,chia
948,chiang
949,chic
950,chie
951,chif
952,chik
953,chil
954,chim
955,chin
956,chinc
957,chinch
958,chio
959,chiog
960,chios
961,chip
962,chir
963,chirc
964,chis
965,chish
966,chit
967,chiz
968,chiş
969,chka
970,chlef
971,cho
972,choa
973,choi
974,chok
975,chol
976,chom
977,chon
978,chong
979,chop
980,chor
981,chort
982,chosz
983,chowc
984,chris
985,christc
986,chru
987,chrza
988,chu
989,chum
990,chump
991,chunc
992,chung
993,chuns
994,chur
995,chust
996,chuz
997,chyn
998,chàm
999,châ
1000,chã
1001,chía
1002,chā
1003,chām
1004,chān
1005,chānd
1006,chās
1007,chāī
1008,chī
1009,chīc
1010,chō
1011,chŏng
1012,chū
1013,chūō
1014,ci
1015,cia
1016,ciam
1017,cian
1018,cias
1019,cie
1020,ciec
1021,ciel
1022,ciem
1023,cien
1024,cier
1025,cies
1026,cif
1027,cik
1028,cil
1029,cim
1030,cin
1031,cing
1032,cint
1033,cio
1034,cion
1035,cios
1036,cir
1037,cis
1038,cit
1039,ciu
1040,ciuc
1041,cié
1042,ción
1043,ciú
1044,cią
1045,cińs
1046,ciş
1047,cla
1048,clac
1049,clai
1050,clair
1051,clar
1052,clarks
1053,claust
1054,clav
1055,clay
1056,cle
1057,clear
1058,cleck
1059,cleet
1060,clem
1061,cler
1062,cles
1063,cli
1064,clic
1065,clid
1066,clif
1067,cliff
1068,clin
1069,clit
1070,clo
1071,cloa
1072,clop
1073,cloud
1074,clu
1075,clua
1076,club
1077,cluj
1078,cly
1079,cláu
1080,cma
1081,cmel
1082,cmá
1083,cna
1084,co
1085,coa
1086,coac
1087,coal
1088,coas
1089,coast
1090,coat
1091,cob
1092,coc
1093,cock
1094,cocks
1095,cod
1096,coe
1097,coel
1098,coes
1099,coff
1100,coffs
1101,coh
1102,coi
1103,coil
1104,coim
1105,coing
1106,coish
1107,col
1108,colc
1109,coln
1110,com
1111,comb
1112,combs
1113,comp
1114,con
1115,conc
1116,cong
1117,cons
1118,coo
1119,cook
1120,coon
1121,coor
1122,coos
1123,cop
1124,cor
1125,cord
1126,cork
1127,corn
1128,corps
1129,corts
1130,cos
1131,cot
1132,cott
1133,cou
1134,couc
1135,coun
1136,cour
1137,court
1138,cow
1139,cox
1140,coy
1141,coín
1142,cra
1143,crai
1144,crails
1145,cran
1146,crans
1147,crau
1148,craw
1149,cre
1150,creek
1151,creil
1152,cres
1153,crest
1154,creu
1155,cri
1156,crim
1157,cring
1158,crip
1159,cris
1160,cro
1161,croa
1162,crof
1163,croix
1164,cron
1165,cros
1166,crown
1167,croy
1168,cru
1169,cruz
1170,crys
1171,cré
1172,csa
1173,csi
1174,cson
1175,csés
1176,cu
1177,cua
1178,cuac
1179,cual
1180,cuam
1181,cuar
1182,cuc
1183,cud
1184,cue
1185,cuel
1186,cuen
1187,cuer
1188,cues
1189,cui
1190,cuijk
1191,cuik
1192,cuin
1193,cuk
1194,cul
1195,cum
1196,cun
1197,cung
1198,cuns
1199,cur
1200,curc
1201,cus
1202,cut
1203,cutt
1204,cux
1205,cuy
1206,cuí
1207,cuñ
1208,cworth
1209,cy
1210,cyan
1211,cyo
1212,cyr
1213,cza
1214,cze
1215,czec
1216,czech
1217,czer
1218,czew
1219,czna
1220,czno
1221,czy
1222,częs
1223,cà
1224,càs
1225,cá
1226,cái
1227,cál
1228,cám
1229,cán
1230,cár
1231,cás
1232,cát
1233,câ
1234,câm
1235,cân
1236,cè
1237,cé
1238,cém
1239,cê
1240,cë
1241,cí
1242,cía
1243,cías
1244,cím
1245,có
1246,cón
1247,cór
1248,cô
1249,cú
1250,cúa
1251,cún
1252,cük
1253,cău
1254,cē
1255,cı
1256,cık
1257,cła
1258,cław
1259,cşa
1260,cșa
1261,cần
1262,cầu
1263,cẩm
1264,củ
1265,d.c.
1266,da
1267,daal
1268,daan
1269,dab
1270,dac
1271,dach
1272,dad
1273,dae
1274,daen
1275,daeng
1276,daet
1277,dag
1278,dah
1279,dai
1280,daic
1281,daj
1282,dak
1283,dal
1284,dalf
1285,dalk
1286,dall
1287,dalls
1288,dam
1289,dams
1290,dan
1291,dang
1292,dans
1293,dant
1294,dants
1295,dao
1296,dap
1297,dar
1298,darb
1299,dard
1300,dark
1301,darms
1302,darz
1303,das
1304,dash
1305,dasht
1306,dat
1307,dau
1308,daun
1309,daund
1310,daup
1311,daur
1312,daw
1313,dax
1314,day
1315,dayr
1316,daz
1317,daí
1318,daï
1319,daörs
1320,dač
1321,dağ
1322,daň
1323,daş
1324,de
1325,dea
1326,dean
1327,dear
1328,deb
1329,dec
1330,ded
1331,dee
1332,deen
1333,deep
1334,deer
1335,def
1336,deg
1337,deh
1338,dei
1339,dein
1340,deir
1341,deis
1342,dej
1343,dek
1344,del
1345,delc
1346,deld
1347,delf
1348,delfs
1349,delft
1350,dell
1351,delp
1352,dels
1353,delt
1354,dem
1355,den
1356,deng
1357,dengz
1358,dens
1359,densc
1360,dent
1361,deo
1362,deps
1363,der
1364,dern
1365,ders
1366,dersc
1367,dert
1368,des
1369,desh
1370,det
1371,dets
1372,deu
1373,deus
1374,deutz
1375,deux
1376,dev
1377,dey
1378,deys
1379,dez
1380,dezh
1381,deán
1382,deç
1383,deş
1384,deūl
1385,dfil
1386,dfon
1387,dford
1388,dfrey
1389,dfū
1390,dha
1391,dham
1392,dhan
1393,dhand
1394,dhar
1395,dharm
1396,dhau
1397,dhaul
1398,dhayd
1399,dhe
1400,dhen
1401,dhing
1402,dho
1403,dhol
1404,dhrol
1405,dhrān
1406,dhu
1407,dhup
1408,dhā
1409,dhām
1410,dhār
1411,dhī
1412,dhū
1413,di
1414,dia
1415,diac
1416,dian
1417,dias
1418,dib
1419,dic
1420,die
1421,dien
1422,diep
1423,diest
1424,diet
1425,diez
1426,dif
1427,diff
1428,dig
1429,dih
1430,diin
1431,dij
1432,dijk
1433,dil
1434,dim
1435,din
1436,ding
1437,dingc
1438,dings
1439,dingz
1440,dins
1441,dinsk
1442,dio
1443,dios
1444,dip
1445,dir
1446,dis
1447,dishc
1448,dist
1449,dit
1450,ditch
1451,ditj
1452,dits
1453,ditsk
1454,ditz
1455,diu
1456,diun
1457,div
1458,dix
1459,diy
1460,diys
1461,diz
1462,diç
1463,dié
1464,diā
1465,diād
1466,diān
1467,diş
1468,diš
1469,dja
1470,djel
1471,djem
1472,dji
1473,djir
1474,djou
1475,djén
1476,dla
1477,dlag
1478,dland
1479,dlands
1480,dlar
1481,dlas
1482,dlawn
1483,dlay
1484,dle
1485,dlea
1486,dler
1487,dlers
1488,dles
1489,dlet
1490,dley
1491,dli
1492,dlib
1493,dlin
1494,dling
1495,dlitz
1496,dliān
1497,dlo
1498,dlovs
1499,dlow
1500,dlu
1501,dlā
1502,dma
1503,dman
1504,dmaït
1505,dme
1506,dmi
1507,dmie
1508,dmins
1509,dmo
1510,dmon
1511,dmond
1512,dmonds
1513,dmunds
1514,dmur
1515,dna
1516,dnay
1517,dne
1518,dner
1519,dnes
1520,dneu
1521,dney
1522,dni
1523,dnie
1524,dnik
1525,dnis
1526,dno
1527,dnor
1528,dnoy
1529,dnya
1530,dnyy
1531,dnā
1532,dnūn
1533,dnūr
1534,do
1535,doa
1536,doah
1537,doar
1538,dobsk
1539,dock
1540,dod
1541,doe
1542,dog
1543,dohl
1544,doi
1545,dois
1546,dok
1547,dol
1548,dolf
1549,dolph
1550,dols
1551,dolsk
1552,dom
1553,doms
1554,don
1555,donck
1556,dong
1557,dongs
1558,dons
1559,donsk
1560,doo
1561,door
1562,doorn
1563,doost
1564,dor
1565,dorc
1566,dorf
1567,dorm
1568,dorn
1569,dorp
1570,dors
1571,dos
1572,dot
1573,dou
1574,douc
1575,douf
1576,douk
1577,doun
1578,dour
1579,doutc
1580,doux
1581,douz
1582,dovs
1583,dovsk
1584,dow
1585,down
1586,downs
1587,dows
1588,doz
1589,doāb
1590,doğ
1591,doī
1592,dra
1593,draa
1594,drach
1595,drakh
1596,dral
1597,dram
1598,dran
1599,drand
1600,drar
1601,dras
1602,drau
1603,dre
1604,drean
1605,drecht
1606,dred
1607,drei
1608,drell
1609,drens
1610,dres
1611,dreu
1612,dreux
1613,drews
1614,drey
1615,dri
1616,dria
1617,drian
1618,dric
1619,drichs
1620,drid
1621,drie
1622,drik
1623,driks
1624,drim
1625,drin
1626,drinsk
1627,drio
1628,drion
1629,dris
1630,driy
1631,drià
1632,dro
1633,droc
1634,drog
1635,droic
1636,drom
1637,dron
1638,drop
1639,drov
1640,drovs
1641,drovsk
1642,droú
1643,dru
1644,drug
1645,druid
1646,drukh
1647,drum
1648,drus
1649,druzh
1650,dry
1651,dryc
1652,dryn
1653,drá
1654,dré
1655,drés
1656,drí
1657,drój
1658,drón
1659,drów
1660,drā
1661,drāc
1662,dră
1663,drą
1664,drőd
1665,dsar
1666,dsas
1667,dsaur
1668,dsay
1669,dschang
1670,dsee
1671,dsey
1672,dson
1673,dsor
1674,dsvall
1675,dsvik
1676,dsvil
1677,dswood
1678,dsworth
1679,dsīr
1680,du
1681,dua
1682,duak
1683,duar
1684,dub
1685,duc
1686,due
1687,dueng
1688,duf
1689,dug
1690,dui
1691,duis
1692,duk
1693,dul
1694,dulph
1695,dum
1696,dun
1697,dung
1698,duo
1699,dur
1700,durg
1701,dus
1702,dut
1703,duurs
1704,duy
1705,duz
1706,duł
1707,duş
1708,duš
1709,dva
1710,dvanj
1711,dve
1712,dvel
1713,dvez
1714,dvezh
1715,dvi
1716,dview
1717,dvil
1718,dvinsk
1719,dvir
1720,dvo
1721,dvoort
1722,dvād
1723,dvůr
1724,dwa
1725,dwar
1726,dward
1727,dwell
1728,dwest
1729,dwey
1730,dwi
1731,dwich
1732,dwick
1733,dwigs
1734,dwij
1735,dwijk
1736,dwin
1737,dwitz
1738,dwood
1739,dworth
1740,dwór
1741,dwā
1742,dwāl
1743,dwār
1744,dwīp
1745,dy
1746,dya
1747,dyach
1748,dyan
1749,dyans
1750,dyat
1751,dyc
1752,dye
1753,dyer
1754,dyers
1755,dyk
1756,dym
1757,dyn
1758,dyshc
1759,dyur
1760,dyz
1761,dyāl
1762,dza
1763,dzad
1764,dzao
1765,dzerz
1766,dzevs
1767,dzha
1768,dzhan
1769,dzhe
1770,dzi
1771,dzia
1772,dzie
1773,dzier
1774,dzin
1775,dzion
1776,dzishc
1777,dzisk
1778,dziądz
1779,dzo
1780,dzor
1781,dzou
1782,dzyarz
1783,dzyec
1784,dzyn
1785,dzyr
1786,dzyń
1787,dzüün
1788,dá
1789,dán
1790,dão
1791,dè
1792,dès
1793,dé
1794,déa
1795,dél
1796,dê
1797,dë
1798,dën
1799,dër
1800,dí
1801,día
1802,díaz
1803,díez
1804,dín
1805,dîr
1806,dò
1807,dó
1808,dói
1809,dón
1810,dós
1811,dów
1812,dô
1813,dões
1814,dö
1815,döl
1816,dör
1817,dø
1818,dú
1819,dún
1820,dús
1821,dü
1822,dül
1823,dürk
1824,düs
1825,düz
1826,dýs
1827,dā
1828,dāb
1829,dād
1830,dāh
1831,dāl
1832,dām
1833,dāmg
1834,dān
1835,dār
1836,dārc
1837,dārs
1838,dārw
1839,dāūd
1840,dă
1841,dău
1842,dą
1843,dē
1844,dēz
1845,dė
1846,dę
1847,dě
1848,děč
1849,dī
1850,dīd
1851,dīg
1852,dīh
1853,dīn
1854,dīp
1855,dīr
1856,dīs
1857,dīsh
1858,dīt
1859,dīy
1860,dı
1861,dın
1862,dır
1863,dıy
1864,dō
1865,dœu
1866,dřa
1867,dřic
1868,dū
1869,dūn
1870,dūr
1871,dŭs
1872,dź
1873,dương
1874,dầu
1875,e
1876,ea
1877,ear
1878,earl
1879,earls
1880,eas
1881,east
1882,eastc
1883,ec
1884,ech
1885,ed
1886,ee
1887,eer
1888,ef
1889,eg
1890,eh
1891,ei
1892,eims
1893,ein
1894,eind
1895,ej
1896,ek
1897,el
1898,elc
1899,elk
1900,ell
1901,elm
1902,elms
1903,els
1904,elst
1905,elt
1906,em
1907,ems
1908,en
1909,enc
1910,end
1911,enk
1912,ens
1913,ensc
1914,enz
1915,ep
1916,eq
1917,er
1918,erfts
1919,ern
1920,ernstt
1921,ers
1922,ersc
1923,es
1924,esb
1925,esc
1926,esch
1927,esz
1928,et
1929,eu
1930,eul
1931,eus
1932,ev
1933,evs
1934,evsk
1935,ew
1936,ex
1937,ey
